game	agent	query	day	bid	squashed.bid	budget	imps	clicks	convs	avg.pos	cost
./game1.slg	McCon	(Query (lioneer,dvd))	0	0.2	0.08702817396927859	4.800000000000001	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (pg,null))	0	1.5999999999999999	0.5887443303393597	50.0	172	41	11	1.0	49.23854513391127
./game1.slg	Mertacor	(Query (pg,null))	0	0.5416985867293909	0.20693115608637552	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (pg,null))	0	1.0875	0.3756017436501422	108.74999999999999	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (pg,null))	0	0.9362454982336644	0.40182771462539146	1.7976931348623157E308	949	265	60	1.6775553213909378	236.95832863609914
./game1.slg	tau	(Query (pg,null))	0	NaN	NaN	NaN	0	0	0	NaN	0.0
./game1.slg	crocodileagent	(Query (pg,null))	0	1.0924999999999998	0.44190418112422125	140.0	471	140	39	1.365180467091295	139.07890347540513
./game1.slg	MetroClick	(Query (pg,null))	0	0.6528119507908613	0.2711505228066277	141.77592500191145	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (pg,null))	0	0.2	0.08126644403017334	12.0	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (pg,tv))	0	2.286	1.1994079237459236	100.0	217	64	26	1.327188940092166	97.98890263515212
./game1.slg	Mertacor	(Query (pg,tv))	0	0.624262229127	0.2903843999697432	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (pg,tv))	0	1.55	0.7872402615872127	155.0	301	30	12	2.956810631229236	35.22527533748065
./game1.slg	Schlemazl	(Query (pg,tv))	0	1.5576479647837704	0.8033182022348634	1.7976931348623157E308	301	71	26	1.956810631229236	108.37955163600846
./game1.slg	tau	(Query (pg,tv))	0	4.333035121324347	2.2495841953103697	100.0	71	42	12	1.0	97.03002897479392
./game1.slg	crocodileagent	(Query (pg,tv))	0	0.9974999999999999	0.4529457200595639	100.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (pg,tv))	0	1.1842105263157892	0.5501049133538368	278.3018983093782	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (pg,tv))	0	0.2	0.10140236240551044	24.0	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (pg,audio))	0	2.0999999999999996	0.9564334743472298	100.0	221	72	20	1.0	98.69828449415492
./game1.slg	Mertacor	(Query (pg,audio))	0	0.624262229127	0.2999321977242129	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (pg,audio))	0	1.25	0.6243276663416389	125.0	254	104	38	1.8700787401574803	124.17652786258537
./game1.slg	Schlemazl	(Query (pg,audio))	0	1.0613164184649029	0.5268386471332085	1.7976931348623157E308	0	0	0	NaN	0.0
./game1.slg	tau	(Query (pg,audio))	0	NaN	NaN	NaN	0	0	0	NaN	0.0
./game1.slg	crocodileagent	(Query (pg,audio))	0	1.1875	0.5321355736948454	180.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (pg,audio))	0	0.8999999999999999	0.4325363800120488	205.28303729500516	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (pg,audio))	0	1.0	0.49642192525727963	60.0	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (pg,dvd))	0	2.0999999999999996	1.0436372273392218	100.0	105	43	6	1.0	71.91504277633894
./game1.slg	Mertacor	(Query (pg,dvd))	0	0.7856847277342104	0.37658962711855704	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (pg,dvd))	0	1.25	0.6578532232252156	125.0	105	6	0	3.0	6.79893668799731
./game1.slg	Schlemazl	(Query (pg,dvd))	0	1.6895640959443994	0.8311541068336646	1.7976931348623157E308	105	14	4	2.0	18.721910270475032
./game1.slg	tau	(Query (pg,dvd))	0	NaN	NaN	NaN	0	0	0	NaN	0.0
./game1.slg	crocodileagent	(Query (pg,dvd))	0	0.9974999999999999	0.500255563288433	100.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (pg,dvd))	0	0.8999999999999999	0.4577578326608117	205.28303729500516	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (pg,dvd))	0	0.2	0.09685622437334199	24.0	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (flat,null))	0	2.2399999999999998	0.771555551896667	50.0	133	43	12	1.0	47.90992843130692
./game1.slg	Mertacor	(Query (flat,null))	0	0.4924532606630826	0.1673268730836788	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (flat,null))	0	0.5925	0.24899185624827835	59.25	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (flat,null))	0	0.457497737097303	0.17448753417018512	9.149954741946061	0	0	0	NaN	0.0
./game1.slg	tau	(Query (flat,null))	0	NaN	NaN	NaN	0	0	0	NaN	0.0
./game1.slg	crocodileagent	(Query (flat,null))	0	0.6174999999999999	0.22320688147314063	80.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (flat,null))	0	0.9139367311072057	0.32102990094197836	208.8636373695465	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (flat,null))	0	0.2	0.08288406733797987	4.800000000000001	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (flat,tv))	0	2.249	1.0238494071800408	200.0	101	33	11	1.8316831683168318	51.772328293739356
./game1.slg	Mertacor	(Query (flat,tv))	0	0.5156948849310001	0.26873219116972824	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (flat,tv))	0	1.0099999999999998	0.5076007667391393	100.99999999999997	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (flat,tv))	0	0.5965574847487534	0.3020176200730324	11.931149694975067	0	0	0	NaN	0.0
./game1.slg	tau	(Query (flat,tv))	0	3.3685264346063724	1.7742653179707963	100.0	84	50	15	1.0	97.19132077401063
./game1.slg	crocodileagent	(Query (flat,tv))	0	1.0924999999999998	0.5492649750393628	60.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (flat,tv))	0	1.6578947368421049	0.8010593371236219	400.0	77	4	1	3.0	4.936975793028304
./game1.slg	McCon	(Query (flat,tv))	0	0.2	0.1005434586305324	4.800000000000001	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (flat,audio))	0	2.128	1.0468937243605918	200.0	94	37	8	1.0	49.43344731654301
./game1.slg	Mertacor	(Query (flat,audio))	0	0.5971203930780001	0.2984996687506834	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (flat,audio))	0	0.71	0.3559469983864656	71.0	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (flat,audio))	0	1.0671756931902459	0.5241218725485829	21.343513863804915	0	0	0	NaN	0.0
./game1.slg	tau	(Query (flat,audio))	0	NaN	NaN	NaN	0	0	0	NaN	0.0
./game1.slg	crocodileagent	(Query (flat,audio))	0	0.9974999999999999	0.4692602454145461	100.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (flat,audio))	0	1.26	0.6690704156319444	297.77359457987774	72	13	3	2.0	14.599931256092752
./game1.slg	McCon	(Query (flat,audio))	0	0.2	0.09396327329574919	12.0	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (flat,dvd))	0	2.286	1.0992040340588758	200.0	90	32	3	1.0	42.82998028849513
./game1.slg	Mertacor	(Query (flat,dvd))	0	0.7142588433947367	0.3310082881991367	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (flat,dvd))	0	0.71	0.34368507608906823	71.0	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (flat,dvd))	0	1.3514181921805244	0.6435762127047246	1.7976931348623157E308	90	21	5	2.0	26.297702770745722
./game1.slg	tau	(Query (flat,dvd))	0	NaN	NaN	NaN	0	0	0	NaN	0.0
./game1.slg	crocodileagent	(Query (flat,dvd))	0	1.0924999999999998	0.5665146169228925	60.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (flat,dvd))	0	1.26	0.5915259162393067	297.77359457987774	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (flat,dvd))	0	0.2	0.09133222706456669	4.800000000000001	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (null,null))	1	0.9280503144654086	0.23621172917120314	50.0	872	84	8	1.6295871559633028	49.20652594464392
./game1.slg	Mertacor	(Query (null,null))	1	0.2458191536769763	0.07945303115128925	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (null,null))	1	0.47499999999999987	0.12843291463264786	47.499999999999986	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (null,null))	1	0.22364663683113528	0.06185362274805456	4.472932736622706	0	0	0	NaN	0.0
./game1.slg	tau	(Query (null,null))	1	NaN	NaN	NaN	0	0	0	NaN	0.0
./game1.slg	crocodileagent	(Query (null,null))	1	1.15	0.3399611433518135	120.0	549	149	13	1.0	119.0573704818956
./game1.slg	MetroClick	(Query (null,null))	1	0.36370856785490946	0.10262917217830846	67.5	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (null,null))	1	0.6000000000000001	0.15368464187852304	14.400000000000002	704	26	1	2.7798295454545454	14.035850451320817
./game1.slg	Nanda_AA	(Query (lioneer,null))	1	1.5999999999999999	0.56783791818679	50.0	290	45	13	1.6206896551724137	48.66137265693347
./game1.slg	Mertacor	(Query (lioneer,null))	1	0.623096491757846	0.21973757999009802	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (lioneer,null))	1	0.5925	0.24654363144637828	59.25	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (lioneer,null))	1	0.5559715803957622	0.21320517874961778	11.119431607915244	0	0	0	NaN	0.0
./game1.slg	tau	(Query (lioneer,null))	1	3.228037723095438	1.2919702271506366	100.0	180	69	16	1.0	97.89478933596845
./game1.slg	crocodileagent	(Query (lioneer,null))	1	0.65	0.2762365080850906	80.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (lioneer,null))	1	0.6528119507908613	0.2362321481893769	141.77592500191145	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (lioneer,null))	1	0.6000000000000001	0.24367038726269588	14.400000000000002	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (null,tv))	1	2.241	0.9411494264806531	50.0	242	52	10	1.524793388429752	47.93971476624574
./game1.slg	Mertacor	(Query (null,tv))	1	0.4887169100140801	0.1673947854316952	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (null,tv))	1	0.8675	0.33669706077108524	86.75	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (null,tv))	1	0.45050811095941207	0.18801558180328878	9.010162219188242	0	0	0	NaN	0.0
./game1.slg	tau	(Query (null,tv))	1	4.311292569486118	1.7137543556740018	100.0	127	41	16	1.0	97.07365069261685
./game1.slg	crocodileagent	(Query (null,tv))	1	0.65	0.2315155077971188	80.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (null,tv))	1	0.9162272993555947	0.38717635548946466	209.45212607452572	736	230	52	1.5013586956521738	208.88078214285017
./game1.slg	McCon	(Query (null,tv))	1	0.6000000000000001	0.25165756662490685	14.400000000000002	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (lioneer,tv))	1	2.1510000000000002	0.935473349658235	100.0	298	70	12	1.308724832214765	98.17234161732256
./game1.slg	Mertacor	(Query (lioneer,tv))	1	0.7166293582140001	0.37448318506099243	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (lioneer,tv))	1	1.0099999999999998	0.4483272831910917	100.99999999999997	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (lioneer,tv))	1	0.8377355586907229	0.4065092773905751	16.754711173814457	0	0	0	NaN	0.0
./game1.slg	tau	(Query (lioneer,tv))	1	3.3098643365374842	1.4413314691634507	100.0	92	46	16	1.0	98.81788986551342
./game1.slg	crocodileagent	(Query (lioneer,tv))	1	1.15	0.5116451927497129	60.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (lioneer,tv))	1	1.1842105263157892	0.6099329830414383	278.3018983093782	396	109	31	1.9848484848484849	126.206591135792
./game1.slg	McCon	(Query (lioneer,tv))	1	0.6000000000000001	0.29127793236291294	14.400000000000002	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (null,audio))	1	1.5866666666666664	0.6097132310133057	50.0	151	41	9	1.0	49.54031925304221
./game1.slg	Mertacor	(Query (null,audio))	1	0.44428810001280006	0.15129932450676126	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (null,audio))	1	0.5925	0.2123982194369052	59.25	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (null,audio))	1	0.5774139608655368	0.24123638559828367	11.548279217310736	0	0	0	NaN	0.0
./game1.slg	tau	(Query (null,audio))	1	NaN	NaN	NaN	0	0	0	NaN	0.0
./game1.slg	crocodileagent	(Query (null,audio))	1	1.15	0.4643173004284129	140.0	532	147	35	1.2838345864661653	139.7257849956365
./game1.slg	MetroClick	(Query (null,audio))	1	0.6516666666666667	0.26389871038675244	141.48168064942178	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (null,audio))	1	0.6000000000000001	0.20737840719757755	36.00000000000001	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (lioneer,audio))	1	2.0999999999999996	0.9870475378218296	100.0	131	34	4	1.549618320610687	43.138881721885795
./game1.slg	Mertacor	(Query (lioneer,audio))	1	0.6189071730030001	0.2989975149126998	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (lioneer,audio))	1	0.71	0.3714186625522306	71.0	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (lioneer,audio))	1	0.9297575504765553	0.4896339161980559	18.595151009531104	0	0	0	NaN	0.0
./game1.slg	tau	(Query (lioneer,audio))	1	3.5565331928518606	1.615024175110385	100.0	72	45	12	1.0	97.81341501750254
./game1.slg	crocodileagent	(Query (lioneer,audio))	1	1.05	0.49369567790849067	100.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (lioneer,audio))	1	0.8999999999999999	0.4089880290438176	205.28303729500516	0	0	0	NaN	0.0
