1.1415315888933508,1.1468665338413018,1.173340952657648,1.199815371473994,1.3495032348942761,1.499191098314558,1.86027370041879
10.0,100.0,300.0,1000.

8.921619510711134,79.17937315756134,0,0
8.921619510711134,83.64018291291691,0,0
8.921619510711134,74.71856340220577,0,0
8.921619510711134,81.40977803523913,0,0
8.921619510711134,95.90740974014473,0,0
8.921619510711134,99.2530170566614,86.98579022943359,0
8.938546060196142,99.76563153763288,197.43755708017616,0
8.0,71.0,0,0
8.0,75.0,0,0
8.0,67.0,0,0
8.0,73.0,0,0
8.0,86.0,0,0
8.0,89.0,78.0,0
5.0,60.0,119.0,0
2.88,24.84,0,0
2.88,24.48,0,0
2.16,21.6,0,0
2.16,24.84,0,0
2.16,28.8,0,0
2.88,28.799999999999997,24.12,0
1.7999999999999998,20.159999999999997,40.68,0
