"Day","Description","ManuPreference","CompPreference","AvgUserCount","UserCountStdDev"
"1","Transacted","pg","tv","0.0000","0.0000"
"2","F0","flat","audio","625.9375","430.5493"
"2","F0","flat","dvd","553.7500","444.8806"
"2","F0","flat","tv","473.7375","431.1359"
"2","F0","lioneer","audio","578.2875","476.6068"
"2","F0","lioneer","dvd","572.5625","438.7584"
"2","F0","lioneer","tv","584.3875","449.7405"
"2","F0","pg","audio","503.5250","418.2927"
"2","F0","pg","dvd","616.3500","478.4327"
"2","F0","pg","tv","513.1250","402.5430"
"2","F1","flat","audio","341.4750","219.2040"
"2","F1","flat","dvd","316.2750","242.0553"
"2","F1","flat","tv","287.7625","241.3756"
"2","F1","lioneer","audio","322.5875","236.6331"
"2","F1","lioneer","dvd","349.6000","263.2999"
"2","F1","lioneer","tv","316.5000","225.6542"
"2","F1","pg","audio","302.8375","240.8689"
"2","F1","pg","dvd","364.2125","250.6712"
"2","F1","pg","tv","298.6625","215.3101"
"2","F2","flat","audio","192.6250","138.9550"
"2","F2","flat","dvd","169.4375","143.4736"
"2","F2","flat","tv","154.1500","133.8211"
"2","F2","lioneer","audio","169.9625","139.9837"
"2","F2","lioneer","dvd","181.4500","152.3711"
"2","F2","lioneer","tv","158.7750","124.2726"
"2","F2","pg","audio","157.9250","132.4806"
"2","F2","pg","dvd","198.8375","148.5497"
"2","F2","pg","tv","149.2000","113.1402"
"2","Informational Search","flat","audio","368.7375","520.9095"
"2","Informational Search","flat","dvd","276.7500","461.6132"
"2","Informational Search","flat","tv","416.9750","620.8263"
"2","Informational Search","lioneer","audio","295.9375","458.3724"
"2","Informational Search","lioneer","dvd","238.0250","404.9197"
"2","Informational Search","lioneer","tv","396.7875","586.5533"
"2","Informational Search","pg","audio","323.7375","527.2446"
"2","Informational Search","pg","dvd","341.2875","523.4407"
"2","Informational Search","pg","tv","333.1125","546.4963"
"2","Non-Searching","flat","audio","8274.8375","1025.9844"
"2","Non-Searching","flat","dvd","8517.6375","981.8212"
"2","Non-Searching","flat","tv","8525.6500","1121.8848"
"2","Non-Searching","lioneer","audio","8466.5875","1089.0881"
"2","Non-Searching","lioneer","dvd","8495.7000","1002.0817"
"2","Non-Searching","lioneer","tv","8377.6000","1106.2533"
"2","Non-Searching","pg","audio","8563.3250","1017.2845"
"2","Non-Searching","pg","dvd","8294.8625","1133.3035"
"2","Non-Searching","pg","tv","8558.6250","911.9227"
"2","Transacted","flat","audio","196.3875","131.9167"
"2","Transacted","flat","dvd","166.1500","122.2071"
"2","Transacted","flat","tv","141.7250","117.6904"
"2","Transacted","lioneer","audio","166.6375","127.6475"
"2","Transacted","lioneer","dvd","162.6625","122.4311"
"2","Transacted","lioneer","tv","165.9500","123.0677"
"2","Transacted","pg","audio","148.6500","116.2282"
"2","Transacted","pg","dvd","184.4500","127.1926"
"2","Transacted","pg","tv","147.2750","109.0627"
"3","F0","flat","audio","619.3125","420.9673"
"3","F0","flat","dvd","522.5250","401.1514"
"3","F0","flat","tv","540.9000","459.8045"
"3","F0","lioneer","audio","549.3375","443.6692"
"3","F0","lioneer","dvd","518.1375","363.9899"
"3","F0","lioneer","tv","606.9875","485.0028"
"3","F0","pg","audio","511.5500","404.7230"
"3","F0","pg","dvd","601.8875","454.7254"
"3","F0","pg","tv","519.9000","386.0383"
"3","F1","flat","audio","373.1250","218.4659"
"3","F1","flat","dvd","334.3375","231.9265"
"3","F1","flat","tv","311.0250","239.9776"
"3","F1","lioneer","audio","344.4500","240.7217"
"3","F1","lioneer","dvd","356.7500","248.0140"
"3","F1","lioneer","tv","348.2750","230.7436"
"3","F1","pg","audio","319.0000","232.3385"
"3","F1","pg","dvd","381.6000","251.5042"
"3","F1","pg","tv","322.1875","209.3372"
"3","F2","flat","audio","215.6750","146.6721"
"3","F2","flat","dvd","190.0125","149.5861"
"3","F2","flat","tv","180.7875","148.1183"
"3","F2","lioneer","audio","192.3125","147.3920"
"3","F2","lioneer","dvd","200.5875","157.2201"
"3","F2","lioneer","tv","186.7250","129.2398"
"3","F2","pg","audio","179.9250","139.5514"
"3","F2","pg","dvd","221.8000","157.7736"
"3","F2","pg","tv","172.8625","116.3833"
"3","Informational Search","flat","audio","302.7500","465.3185"
"3","Informational Search","flat","dvd","323.1750","505.9155"
"3","Informational Search","flat","tv","299.1250","459.1446"
"3","Informational Search","lioneer","audio","381.9500","586.1049"
"3","Informational Search","lioneer","dvd","188.9625","321.0612"
"3","Informational Search","lioneer","tv","423.6625","612.2803"
"3","Informational Search","pg","audio","313.5375","515.6260"
"3","Informational Search","pg","dvd","273.8000","445.8229"
"3","Informational Search","pg","tv","292.4500","478.5310"
"3","Non-Searching","flat","audio","8318.6000","990.5510"
"3","Non-Searching","flat","dvd","8484.3125","1026.6301"
"3","Non-Searching","flat","tv","8517.6875","1063.5909"
"3","Non-Searching","lioneer","audio","8382.6500","1048.2126"
"3","Non-Searching","lioneer","dvd","8589.1375","867.2668"
"3","Non-Searching","lioneer","tv","8275.2000","1069.0616"
"3","Non-Searching","pg","audio","8527.6875","923.7227"
"3","Non-Searching","pg","dvd","8353.2625","1083.1614"
"3","Non-Searching","pg","tv","8546.5500","853.3684"
"3","Transacted","flat","audio","170.5375","98.4601"
"3","Transacted","flat","dvd","145.6375","88.1357"
"3","Transacted","flat","tv","150.4750","114.3116"
"3","Transacted","lioneer","audio","149.3000","103.5564"
"3","Transacted","lioneer","dvd","146.4250","102.4951"
"3","Transacted","lioneer","tv","159.1500","104.3214"
"3","Transacted","pg","audio","148.3000","106.9911"
"3","Transacted","pg","dvd","167.6500","112.0108"
"3","Transacted","pg","tv","146.0500","95.9902"
"4","F0","flat","audio","580.2375","404.6443"
"4","F0","flat","dvd","526.0125","424.9401"
"4","F0","flat","tv","524.0875","419.8058"
"4","F0","lioneer","audio","577.6875","438.6585"
"4","F0","lioneer","dvd","454.9250","302.6118"
"4","F0","lioneer","tv","641.1875","476.6784"
"4","F0","pg","audio","514.1625","386.8491"
"4","F0","pg","dvd","552.2125","433.0318"
"4","F0","pg","tv","508.7625","363.3273"
"4","F1","flat","audio","390.4375","222.8273"
"4","F1","flat","dvd","347.4750","228.4183"
"4","F1","flat","tv","331.9625","241.2189"
"4","F1","lioneer","audio","364.2875","242.4684"
"4","F1","lioneer","dvd","346.1000","222.9784"
"4","F1","lioneer","tv","378.6125","237.3897"
"4","F1","pg","audio","336.6625","220.0950"
"4","F1","pg","dvd","389.6375","250.2042"
"4","F1","pg","tv","336.1000","199.8038"
"4","F2","flat","audio","236.0625","146.5401"
"4","F2","flat","dvd","210.9875","155.1399"
"4","F2","flat","tv","198.8750","153.4343"
"4","F2","lioneer","audio","220.8375","150.5298"
"4","F2","lioneer","dvd","218.1000","156.9033"
"4","F2","lioneer","tv","217.8625","134.3230"
"4","F2","pg","audio","200.4750","140.9574"
"4","F2","pg","dvd","242.6000","162.0380"
"4","F2","pg","tv","194.6750","117.5044"
"4","Informational Search","flat","audio","363.7125","545.2877"
"4","Informational Search","flat","dvd","308.8375","479.8294"
"4","Informational Search","flat","tv","347.0125","545.1656"
"4","Informational Search","lioneer","audio","312.0750","486.3899"
"4","Informational Search","lioneer","dvd","284.7500","496.7374"
"4","Informational Search","lioneer","tv","295.8125","453.4379"
"4","Informational Search","pg","audio","341.4625","532.7885"
"4","Informational Search","pg","dvd","282.0375","460.5511"
"4","Informational Search","pg","tv","320.8125","520.0416"
"4","Non-Searching","flat","audio","8271.5625","1047.1531"
"4","Non-Searching","flat","dvd","8459.5000","1048.6795"
"4","Non-Searching","flat","tv","8454.2000","996.9124"
"4","Non-Searching","lioneer","audio","8377.3500","1009.9797"
"4","Non-Searching","lioneer","dvd","8563.0125","849.8128"
"4","Non-Searching","lioneer","tv","8306.8125","998.9087"
"4","Non-Searching","pg","audio","8468.5500","938.7416"
"4","Non-Searching","pg","dvd","8377.2500","1082.7835"
"4","Non-Searching","pg","tv","8500.0500","858.9317"
"4","Transacted","flat","audio","157.9875","95.3195"
"4","Transacted","flat","dvd","147.1875","102.6660"
"4","Transacted","flat","tv","143.8625","109.3603"
"4","Transacted","lioneer","audio","147.7625","98.8622"
"4","Transacted","lioneer","dvd","133.1125","87.7296"
"4","Transacted","lioneer","tv","159.7125","95.1175"
"4","Transacted","pg","audio","138.6875","83.6649"
"4","Transacted","pg","dvd","156.2625","107.0585"
"4","Transacted","pg","tv","139.6000","89.0315"
"5","F0","flat","audio","597.0000","432.0078"
"5","F0","flat","dvd","527.3000","436.0390"
"5","F0","flat","tv","548.4750","406.1120"
"5","F0","lioneer","audio","563.3000","417.4893"
"5","F0","lioneer","dvd","462.9125","336.1410"
"5","F0","lioneer","tv","600.1250","425.6613"
"5","F0","pg","audio","537.7875","407.4574"
"5","F0","pg","dvd","533.1375","438.8106"
"5","F0","pg","tv","524.0375","377.9371"
"5","F1","flat","audio","399.0875","229.7711"
"5","F1","flat","dvd","357.5500","238.2596"
"5","F1","flat","tv","350.4875","234.6811"
"5","F1","lioneer","audio","377.6000","238.3788"
"5","F1","lioneer","dvd","339.3625","199.1074"
"5","F1","lioneer","tv","397.8750","242.7669"
"5","F1","pg","audio","347.7625","210.4652"
"5","F1","pg","dvd","384.7375","248.2949"
"5","F1","pg","tv","344.9125","192.0231"
"5","F2","flat","audio","263.0250","160.7987"
"5","F2","flat","dvd","230.5750","161.9532"
"5","F2","flat","tv","221.0625","159.2717"
"5","F2","lioneer","audio","244.6375","158.7703"
"5","F2","lioneer","dvd","235.5875","156.6645"
"5","F2","lioneer","tv","240.9125","140.3694"
"5","F2","pg","audio","225.8625","147.7684"
"5","F2","pg","dvd","261.7875","167.9829"
"5","F2","pg","tv","217.4500","120.9192"
"5","Informational Search","flat","audio","243.9125","394.0299"
"5","Informational Search","flat","dvd","221.6000","356.8034"
"5","Informational Search","flat","tv","269.6000","451.2025"
"5","Informational Search","lioneer","audio","296.4375","481.4792"
"5","Informational Search","lioneer","dvd","350.5125","570.7391"
"5","Informational Search","lioneer","tv","267.7125","436.6602"
"5","Informational Search","pg","audio","274.9000","446.4516"
"5","Informational Search","pg","dvd","199.6250","334.4697"
"5","Informational Search","pg","tv","283.2625","482.6129"
"5","Non-Searching","flat","audio","8347.0500","983.3069"
"5","Non-Searching","flat","dvd","8526.5875","954.9901"
"5","Non-Searching","flat","tv","8475.1250","928.0493"
"5","Non-Searching","lioneer","audio","8378.5125","989.9613"
"5","Non-Searching","lioneer","dvd","8478.9625","849.4811"
"5","Non-Searching","lioneer","tv","8347.2125","977.2076"
"5","Non-Searching","pg","audio","8479.0625","877.0952"
"5","Non-Searching","pg","dvd","8475.7375","927.4908"
"5","Non-Searching","pg","tv","8498.9625","856.2839"
"5","Transacted","flat","audio","149.9250","87.2573"
"5","Transacted","flat","dvd","136.3875","85.9658"
"5","Transacted","flat","tv","135.2500","88.1779"
"5","Transacted","lioneer","audio","139.5125","92.0769"
"5","Transacted","lioneer","dvd","132.6625","86.4698"
"5","Transacted","lioneer","tv","146.1625","88.2637"
"5","Transacted","pg","audio","134.6250","84.1478"
"5","Transacted","pg","dvd","144.9750","97.3052"
"5","Transacted","pg","tv","131.3750","81.0110"
"6","F0","flat","audio","549.1125","409.1663"
"6","F0","flat","dvd","490.7625","391.5851"
"6","F0","flat","tv","528.1875","400.0544"
"6","F0","lioneer","audio","557.3375","428.0555"
"6","F0","lioneer","dvd","519.4750","394.4782"
"6","F0","lioneer","tv","568.8000","416.8431"
"6","F0","pg","audio","526.6500","374.4481"
"6","F0","pg","dvd","481.2125","357.1727"
"6","F0","pg","tv","521.5000","400.2028"
"6","F1","flat","audio","410.0750","240.7950"
"6","F1","flat","dvd","365.6750","246.4580"
"6","F1","flat","tv","369.1250","228.5789"
